configuration,sensitivity,sensitivity_sd,specificity,specificity_sd,auc_roc,auc_roc_sd,auprc,auprc_sd,f1,f1_sd,inference_ms_image,inference_ms_image_sd
Fine-tuning parcial,0.9924812030075186,0.0012278144074101506,0.869198312236287,0.015787583910438566,0.9959772849846135,0.0005877471397355133,0.99864249415296,0.0002197458865573601,0.9734584602649515,0.003297810932544625,11.85183818333826,0.6214039748463015
Extractor congelado,0.9593984962406016,0.004426947802670617,0.7918424753867792,0.0079561944437305,0.9775155187546928,0.000902866330992584,0.9923900148779655,0.0002725295161100238,0.9435508547503098,0.0010977502718701945,13.694637483323882,1.1442842860629785
