epoch,train_loss,train_auc,val_auc,lr_head,gradient_norm,epoch_seconds
1,0.2543005775442847,0.9170702809480415,0.9797643195209118,0.0001,1.9232525199303832,31.010548082999776
2,0.13956822795568738,0.9696044891016621,0.9834623504574244,0.0001,1.4767867752318253,26.24652133299969
3,0.11203792955045107,0.9765156375831654,0.9857253246126038,0.0001,1.4199305070049568,27.425540541999908
4,0.09541319599846226,0.9809738023384451,0.9872155758855267,0.0001,1.35304491233501,28.10375120900062
5,0.09417286384778265,0.981329516577728,0.9887955182072828,0.0001,1.4021729284223416,27.240049958999407
6,0.0884856460688469,0.9833473371990423,0.9889266051248086,0.0001,1.3782650603974376,27.410977083000034
7,0.08360918813135025,0.9853004551456985,0.9896303348925778,0.0001,1.3750462995023116,27.95164208300048
8,0.08245506962029271,0.9855493347361275,0.9897338245643085,0.0001,1.3945870749101565,28.639279292000538
9,0.07691101655943848,0.9872120430035041,0.9904651515778726,0.0001,1.3613049055989614,31.580869375000475
10,0.07240859008165881,0.9892497258412251,0.991182679968539,0.0001,1.397822106974598,31.744486958999914
11,0.07379601679104543,0.9880324127296343,0.9924383546522056,0.0001,1.3821147706953931,29.49502283399943
12,0.06826171156287135,0.9898483008174808,0.9927212264216032,0.0001,1.3664763839444298,30.335906082999827
13,0.07081651774050254,0.9892127098924671,0.9921554828828083,0.0001,1.4362946051799834,30.132968583999173
14,0.06713185888798437,0.9904790766597289,0.9925901395040775,0.0001,1.4343530776609708,30.48803075000069
15,0.06422684070244722,0.9914071838627317,0.9936112375984878,0.0001,1.4014487207689639,31.699151542000436
16,0.05835323790378202,0.9924475426826993,0.9933352651405389,0.0001,1.3108285169773064,64.90861395799948
17,0.05872805067609836,0.9925423396246402,0.9932593727146031,0.0001,1.3591842969393915,29.777426332999312
18,0.05498058259385685,0.9934541959233103,0.9938527134991928,0.0001,1.3319166653756966,34.5894527090004
19,0.06056319230330332,0.992226951703516,0.9934801506809621,0.0001,1.4895482653251881,26.660616708000816
20,0.06006816032991277,0.9926597072670434,0.9945978391356542,0.0001,1.529778464005151,28.214069749999908
21,0.0578342034909077,0.9930166252770177,0.9946668322501414,0.0001,1.540759008653201,26.127476833999935
22,0.05534355974111141,0.9935110740884747,0.9941079880227953,0.0001,1.4168352624727594,26.197666375000153
23,0.050282945037467934,0.9945953705386754,0.993825116253398,1e-05,1.4123202019338479,25.71008250000068
24,0.0478984151245729,0.9952104973619365,0.9937078279587697,1e-05,1.360181698713321,25.29924283299988
25,0.0526491527759075,0.9940079304413143,0.9937561231389107,1e-05,1.4360436957894829,39.44855637500041
26,0.0505271291279629,0.9943531116870485,0.9939631024823723,1.0000000000000002e-06,1.4369103797939733,30.697551291999844
