epoch,train_loss,train_auc,val_auc,lr_head,gradient_norm,epoch_seconds
1,0.34584423818476934,0.727943911508409,0.9064177395095969,0.0001,1.8494765364242436,22.68841654100015
2,0.2846906552750777,0.9186506813943998,0.9534089497868112,0.0001,1.5635126418640641,21.198873625000033
3,0.2481194055034029,0.9414427251923927,0.9658139117716052,0.0001,1.5186847949306326,20.926060166000298
4,0.22081231543294186,0.9517877800422042,0.9687116225800665,0.0001,1.4532027406915153,20.945452916999784
5,0.206060946857419,0.9537469168423167,0.9722992645333995,0.0001,1.406031103449573,21.02803912499985
6,0.19344948426410846,0.9552022756081148,0.9725269418112072,0.0001,1.3393210994826217,21.020949917000053
7,0.18089481031500412,0.9607131378329479,0.9730581887927585,0.0001,1.2987793212038998,21.461883832999774
8,0.1787071613892043,0.9553461262057269,0.9732996646934636,0.0001,1.3495547909449046,22.077450750000025
9,0.16710029313420507,0.9610095663656838,0.9743552593451174,0.0001,1.2488001031866334,22.04483104200017
10,0.16472934537244677,0.9598136201838638,0.9745898359343738,0.0001,1.1817298802884173,21.046433833000265
11,0.16054199517121112,0.959606571624958,0.9762801672393095,0.0001,1.2285634123861557,23.171886625000297
12,0.15490613010954765,0.9631032245405506,0.9757834168150019,0.0001,1.1970546438652254,23.88280229100019
13,0.15193772539206515,0.9624586053353525,0.9753625588166301,0.0001,1.1402691653730341,24.165972000000238
14,0.15405350114700858,0.9598024853049694,0.9750589891128867,1e-05,1.217072473193885,23.602926916999877
15,0.1516660961253634,0.9625058533349865,0.9767838169750659,1e-05,1.1465344875471137,22.873732417000156
16,0.14392698572129592,0.9670973356943289,0.9762870665507581,1e-05,1.0846591334398619,22.540767417000097
17,0.14751812198166717,0.9636870533258378,0.9764112541568352,1e-05,1.1240042948421338,22.600558667000314
18,0.1439229244880871,0.9674458273094643,0.9765078445171173,1.0000000000000002e-06,1.1580021975105375,25.387342667000212
19,0.14603590929032764,0.9647307225152068,0.9759421009783223,1.0000000000000002e-06,1.167467260117197,24.357158583
20,0.1503398529460458,0.9625184929272453,0.9767424211063735,1.0000000000000002e-06,1.2137966349083162,23.97269504099995
