epoch,train_loss,train_auc,val_auc,lr_head,gradient_norm,epoch_seconds
1,0.25140557464226676,0.9201051373321794,0.980516344468822,0.0001,1.8032014715532385,27.42638904100022
2,0.14298794620057953,0.9682664979782671,0.9834209545887319,0.0001,1.516800259337815,25.63348141699953
3,0.114134693989378,0.9753178857453086,0.9850422927791807,0.0001,1.4557756846516976,25.21667266699933
4,0.10524471915156693,0.9769390639238351,0.9864566516261677,0.0001,1.4615002413668057,25.44854604200009
5,0.09331372323000245,0.9814902199650184,0.9878503125388085,0.0001,1.3614013124300812,25.392841124999904
6,0.09226967608157531,0.9817400023834659,0.9883263650287701,0.0001,1.3918906167323488,25.411458291999224
7,0.08956255771016797,0.9829853031636296,0.9889059071904625,0.0001,1.415439712398247,36.557474125000226
8,0.08227537130639827,0.985890302784442,0.9898235156131419,0.0001,1.3868191005654835,25.691672916000243
9,0.07651722492063091,0.9874320320973418,0.990306467414552,0.0001,1.3394401119260937,35.735603957999956
10,0.07511603724436132,0.9878810385652016,0.990527245380911,0.0001,1.3784429657667991,28.225222166000094
11,0.07378636489908577,0.9883800015167511,0.9903685612175905,0.0001,1.3984197727785037,29.884541708000143
12,0.06879566518901503,0.9903752514376031,0.9909136068220392,0.0001,1.4290719870695343,24.597486916999515
13,0.06727137422671085,0.9904483805071005,0.9908860095762444,0.0001,1.4199839777345786,24.516727291999814
14,0.06755458877932874,0.9902100339102204,0.9915069476066288,0.0001,1.4008012164369632,30.613315791999412
15,0.07263734090913826,0.9884522277582299,0.9917898193760264,0.0001,1.5097964500812704,36.85610537499997
16,0.0658756099398527,0.9908194428226977,0.9921416842599109,0.0001,1.4728902887683435,31.82379870800014
17,0.060437233859477454,0.992374413613202,0.9920036980309366,0.0001,1.4283687398127545,36.20162999999957
18,0.059453996978265304,0.9923316797536602,0.9923279656690263,0.0001,1.3824826842500078,36.01166708300025
19,0.0635587151908834,0.9914751969067909,0.9918795104248597,0.0001,1.5203155340329682,28.91634066700044
20,0.05512642781866229,0.9937009689150293,0.993066191994039,0.0001,1.4430876748513155,28.110545167000055
21,0.05653345922972094,0.9932986085614579,0.9924590525865519,0.0001,1.4848062703349711,28.17047791599998
22,0.053187725974014936,0.9942402581847378,0.9923935091277891,0.0001,1.4521940148468147,32.11789429200053
23,0.053516656065229255,0.993798173398353,0.9926591326185646,1e-05,1.4797026107979192,30.894781083000453
24,0.05402389932278877,0.9934815817065376,0.9927212264216031,1e-05,1.4570720232008496,30.754255375000866
25,0.05024614233925852,0.9944819151510191,0.9927143271101544,1e-05,1.3848101742246735,28.42751266599953
