modelo,umbral,boot_descartados,sens,sens_ic,espec,espec_ic,auc_roc,auc_roc_ic,auprc,auprc_ic,f1,f1_ic
Trivial (clase mayoritaria = 1),0.5,0,1.0,"(1.0, 1.0)",0.0,"(0.0, 0.0)",0.5,"(0.5, 0.5)",0.7372505543237251,"(0.6989760682269684, 0.7739642137096774)",0.8487555839183153,"(0.822820380034798, 0.8725815405968077)"
Regresion logistica + PCA,0.45113033056259155,0,0.7323308270676692,"(0.6920550759774537, 0.7700122950819672)",0.751054852320675,"(0.7007778379929229, 0.8068760018615233)",0.8019669426731384,"(0.7735273197720202, 0.8324947389665285)",0.9230559172308803,"(0.8996376630046167, 0.9426838336936493)",0.8042939719240297,"(0.773078130062654, 0.8315215599695416)"
Random Forest,0.365,0,0.9368421052631579,"(0.9179456824512534, 0.95513)",0.759493670886076,"(0.7065591883676989, 0.8149779735682819)",0.9468703404079819,"(0.9317458049909236, 0.9605072628034249)",0.9809589377734628,"(0.9732312436188412, 0.9870660294576986)",0.9263940520446097,"(0.9097237942561184, 0.9422319492691116)"
MLP minimo (64 unidades),0.2820984423160553,0,0.9172932330827067,"(0.8956357232528944, 0.9389457865060231)",0.8016877637130801,"(0.7511101573676681, 0.851726071784646)",0.9411503442149678,"(0.924753088140332, 0.9565576760817478)",0.9785543400239811,"(0.9698207535039965, 0.9854041040835022)",0.9228441754916793,"(0.9056472404223526, 0.9393409568716533)"
